loan_id,cust_id,loan_amount,loan_term,loan_type,overdue_days,issue_date,is_default,age,income,education,cust_level,register_years,age_group
L000001,C000287,1930000,48,消费贷,0,2023-01-01,0,45,28170,本科,普通,2023,36-45岁
L000002,C000355,680000,48,装修贷,0,2023-01-01,0,68,13790,本科,普通,2024,66-75岁
L000003,C000785,4940000,48,消费贷,60,2023-01-02,1,55,42970,本科,普通,2024,46-55岁
L000004,C000476,3050000,12,经营贷,0,2023-01-02,0,23,54870,大专及以下,普通,2023,18-25岁
L000005,C000083,520000,36,消费贷,0,2023-01-03,0,53,65690,大专及以下,金卡,2024,46-55岁
L000006,C000110,3700000,24,装修贷,0,2023-01-04,0,41,29320,大专及以下,普通,2021,36-45岁
L000007,C000950,3630000,36,消费贷,0,2023-01-04,0,25,10680,本科,金卡,2021,18-25岁
L000008,C000190,2850000,36,消费贷,90,2023-01-05,1,61,38190,本科,普通,2020,56-65岁
L000009,C000983,4050000,12,装修贷,0,2023-01-05,0,44,45700,大专及以下,金卡,2025,36-45岁
L000010,C000800,4740000,48,经营贷,0,2023-01-06,0,53,1010,大专及以下,普通,2023,46-55岁
L000011,C000936,3340000,48,经营贷,0,2023-01-07,0,70,28340,大专及以下,金卡,2021,66-75岁
L000012,C000909,90000,12,消费贷,0,2023-01-07,0,35,22130,大专及以下,金卡,2022,26-35岁
L000013,C000251,2510000,12,经营贷,0,2023-01-08,0,28,86770,本科,普通,2021,26-35岁
L000014,C000724,4310000,12,消费贷,0,2023-01-08,0,48,10880,大专及以下,普通,2020,46-55岁
L000015,C000291,3320000,12,消费贷,0,2023-01-09,0,48,74110,大专及以下,普通,2023,46-55岁
L000016,C000645,2980000,12,经营贷,0,2023-01-10,0,65,27040,研究生及以上,普通,2020,56-65岁
L000017,C000201,4350000,24,消费贷,30,2023-01-10,1,69,62660,大专及以下,金卡,2024,66-75岁
L000018,C000797,1840000,36,装修贷,0,2023-01-11,0,45,92270,本科,普通,2023,36-45岁
