loan_id,cust_id,loan_amount,loan_term,loan_type,overdue_days,issue_date,is_default
L000001,C000287,1930000,48,消费贷,0,2023-01-01,0
L000002,C000355,680000,48,装修贷,0,2023-01-01,0
L000003,C000785,4940000,48,消费贷,60,2023-01-02,1
L000004,C000476,3050000,12,经营贷,0,2023-01-02,0
L000005,C000083,520000,36,消费贷,0,2023-01-03,0
L000006,C000110,3700000,24,装修贷,0,2023-01-04,0
L000007,C000950,3630000,36,消费贷,0,2023-01-04,0
L000008,C000190,2850000,36,消费贷,90,2023-01-05,1
L000009,C000983,4050000,12,装修贷,0,2023-01-05,0
L000010,C000800,4740000,48,经营贷,0,2023-01-06,0
L000011,C000936,3340000,48,经营贷,0,2023-01-07,0
L000012,C000909,90000,12,消费贷,0,2023-01-07,0
L000013,C000251,2510000,12,经营贷,0,2023-01-08,0
L000014,C000724,4310000,12,消费贷,0,2023-01-08,0
L000015,C000291,3320000,12,消费贷,0,2023-01-09,0
L000016,C000645,2980000,12,经营贷,0,2023-01-10,0
L000017,C000201,4350000,24,消费贷,30,2023-01-10,1
L000018,C000797,1840000,36,装修贷,0,2023-01-11,0
L000019,C000326,1790000,36,装修贷,3,2023-01-11,0
L000020,C000511,1980000,36,经营贷,3,2023-01-12,0
L000021,C000409,1280000,48,装修贷,10,2023-01-13,0
L000022,C000607,200000,24,经营贷,30,2023-01-13,1
L000023,C000790,4720000,36,消费贷,0,2023-01-14,0
L000024,C000962,4110000,48,经营贷,0,2023-01-15,0
L000025,C000941,4220000,24,消费贷,0,2023-01-15,0
L000026,C000837,3280000,24,消费贷,0,2023-01-16,0
L000027,C000508,650000,48,装修贷,3,2023-01-16,0
L000028,C000731,1820000,24,经营贷,0,2023-01-17,0
L000029,C000601,2410000,48,装修贷,10,2023-01-18,0
L000030,C000072,3690000,36,消费贷,0,2023-01-18,0
L000031,C000247,240000,48,经营贷,30,2023-01-19,1
L000032,C000641,3840000,24,消费贷,0,2023-01-19,0
L000033,C000724,4310000,36,经营贷,0,2023-01-20,0
L000034,C000940,4550000,36,经营贷,0,2023-01-21,0
L000035,C000855,830000,12,经营贷,3,2023-01-21,0
L000036,C000608,4700000,12,消费贷,0,2023-01-22,0
L000037,C000587,3190000,24,消费贷,60,2023-01-22,1
L000038,C000935,1850000,48,消费贷,30,2023-01-23,1
L000039,C000566,4390000,48,经营贷,10,2023-01-24,0
L000040,C000344,3160000,24,装修贷,0,2023-01-24,0
L000041,C000971,990000,36,消费贷,10,2023-01-25,0
